source_1,source_2
"Cereals, barley",barley
Other fresh or chilled potatoes,potatoes
"Fruit, edible; cherries, fresh",cherries
"Bran, sharps and other residues, of maize",maize bran
"Cereals, millet",millets
"Oil seeds; sesamum seeds, whether or not broken",sesame seed
Cigarettes containing tobacco,cigarettes
"Tomato, fresh or chilled",tomatoes
"Pulp, bagasse and other waste of sugar manufacture",beet pulp
"Oil seeds; sunflower seeds, whether or not broken",sunflower seed
"Fruit, edible; figs, fresh or dried",figs
"Bran, sharps and other residues; of wheat, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof",wheat bran
"Bananas-of-the-earth, fresh or dried",plantains
Maize (corn) flour,cornflour
"Dairy produce; cheese, processed (not grated or powdered)",processed cheese
Fresh or chilled asparagus,asparagus
Fresh/dried avocados,avocados
"Pig fat; lard, other than that of heading 0209 and 1503",lard
"Oil seeds; poppy seeds, whether or not broken",poppy seed
"Grape juice, unfermented",grape juice
"Asses, live",equus asinus
"Nuts, edible; chestnuts (castanea spp.), fresh or dried, whether or not shelled or peeled",chestnuts
Sesame oil,sesame oil
"Fruit, edible; strawberries, fresh",strawberries
"Vegetables, leguminous; chickpeas (garbanzos), shelled, whether or not skinned or split, dried",chickpeas
Fresh apples,crab apples
Wheat flour,wheat flour
Fresh watermelons,watermelons
"Fruit, edible; sour cherries (Prunus cerasus), fresh",sour cherries
"Oil seeds; linseed, whether or not broken",linseed
"Vegetables, leguminous; lentils, shelled, whether or not skinned or split, dried",lentils
"Fruit, edible; quinces, fresh",quinces
"Vegetables, alliaceous; garlic, fresh or chilled",garlic
"Cocoa (whole or broken), raw or roasted",cocoa beans
"Waxes, other than vegetable, n.e.s. in heading no. 1521; whether or not refined or coloured",beeswax
"Spices, ginger",ginger
"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, whether or not sliced or in the form of pellets, fresh or dried",yuca
Broken rice,broken rice
"Coffee; substitutes containing coffee, in any proportion",coffee substitutes
"Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",spinach
"Vegetables; olives, fresh or chilled",olives
"Other soybeans, even crushed",soybeans
"Fruit, edible; apricots, fresh",apricots
"Cereals, rye",rye
"Food preparations; of flour, meal, starch, malt extract or milk products, for infant use, put up for retail sale",weaning foods
Manioc (cassava) starch,tapioca
"Live asses, mules and hinnies",horses
"Cereals, grain sorghum",sorghum
"Oil seeds; cotton seeds, whether or not broken",cottonseed
Copra,copra
Fresh/chilled/frozen/dried sweet potatoes,sweetpotatoes
Fresh/chilled aubergines (egg-plants),eggplants
"Fruit, edible; bananas, (including plantains), fresh or dried",bananas
"Cereals, oats",oats
"Oil seeds; mustard seeds, whether or not broken",mustard seed
"Pears, fresh",pears
Fres/chil/froz oth.meat/edib.meat offal of rabib./hares,rabbit meat
"Cereals, buckwheat",buckwheat
"Meat of goats, fresh, chilled or frozen",goat meat
"Fruit, edible; dates, fresh or dried",dates
"Nuts, edible; kola nuts (Cola spp.), fresh or dried, whether or not shelled or peeled",kola nuts
"Goats, live",goats
